ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:100000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      443.0   376.6    86.8   192.8   250.7   398.9   466.1   507.4   539.1   578.2   630.9   718.3   977.2  6497.0 11303.9   4958.3     5000  1620069279397  1620069284741
read      538.3   621.7    80.4   160.3   205.8   473.2   618.5   694.5   737.8   788.8   854.5   973.2  1295.2  4876.5 31561.7   9995.4    10000  1620069286245  1620069291592
read      577.5   499.0    74.4   149.5   186.2   483.0   677.5   789.2   860.1   951.9  1078.0  1201.9  1463.2  5610.8 17295.3  14974.2    15000  1620069293097  1620069298394
read      607.9   552.2    80.4   144.8   179.5   457.3   670.4   846.9   996.9  1137.1  1246.3  1389.4  1709.2  5170.2 16063.4  20118.1    20000  1620069299898  1620069305194
read      593.6   553.4    74.4   141.1   172.9   418.7   601.8   815.3  1014.0  1168.6  1292.4  1447.7  1736.8  4711.0 16123.1  24930.0    25000  1620069306699  1620069312003
read      582.7   553.6    74.4   136.8   164.8   393.7   565.8   744.1   966.0  1186.2  1343.1  1542.0  1897.1  3887.9 16917.6  30010.4    30000  1620069313509  1620069318798
read      562.5   556.1    74.4   133.2   158.6   367.9   518.3   679.2   914.7  1182.4  1350.0  1562.0  1994.4  3448.9 15884.4  35041.8    35000  1620069320301  1620069325597
read      559.2   585.9    74.4   134.0   158.4   358.0   488.5   621.9   796.7  1158.0  1415.9  1693.9  2162.5  3721.5 15535.9  40093.2    40000  1620069327101  1620069332383
read      554.5   597.3    74.4   131.7   155.0   349.3   468.5   578.5   715.9  1146.6  1451.8  1768.9  2282.4  3881.4 12889.3  45053.6    45000  1620069333886  1620069339162
read      554.9   656.3    68.9   133.6   157.8   344.2   460.4   555.8   666.0  1054.4  1453.9  1837.4  2489.8  4841.8 16305.1  49946.4    50000  1620069340665  1620069345943
read      556.9   770.7    74.4   131.5   155.4   337.3   444.2   528.0   619.9   909.7  1461.3  1910.3  2760.1  6427.5 30277.6  54896.4    55000  1620069347447  1620069352735
read      557.3   828.8    68.9   130.5   154.8   331.0   430.3   505.4   583.6   769.3  1454.1  2001.4  3048.4  7638.1 30763.8  59843.4    60000  1620069354239  1620069359517
read      740.1  1228.4    74.4   152.0   190.7   407.2   548.2   681.9   861.2  1453.5  1826.4  2252.6  4272.7 12478.7 36489.7  65064.1    65000  1620069361022  1620069366313
read      784.5   922.3    68.9   174.8   222.4   442.4   661.5   986.7  1454.3  1670.0  1872.9  2171.5  2984.1  8902.5 31281.6  68167.8    70000  1620069367816  1620069373105
read     1016.5  1267.4    68.9   293.3   321.7   587.6  1417.8  1605.3  1716.8  1831.5  1969.7  2214.9  3114.1 16826.5 33088.0  65399.8    75000  1620069374609  1620069379891
read     1006.7  1264.4    74.4   286.6   315.0   580.6  1413.5  1596.8  1708.6  1821.6  1955.9  2183.3  3050.0 16304.8 35237.0  66422.8    80000  1620069381395  1620069386689
read     1079.7  1370.7    63.8   314.9   343.5   635.8  1497.9  1664.0  1773.9  1887.4  2027.1  2296.4  3178.7 17461.3 33173.9  62504.4    85000  1620069388195  1620069393480
read     1060.1  1302.3    74.4   313.3   341.2   621.4  1461.1  1639.1  1744.7  1862.2  2008.9  2301.9  3164.5 16660.6 36358.2  63201.1    90000  1620069394985  1620069400269
read      991.8  1319.4    74.4   280.3   306.7   570.7  1378.7  1576.2  1685.8  1792.7  1924.5  2152.3  3042.4 17249.7 32655.4  67596.6    95000  1620069401773  1620069407048
read     1055.8  1339.5    86.8   302.3   330.7   610.7  1448.1  1645.8  1751.2  1859.9  2009.0  2281.2  3174.9 16560.1 33483.3  63679.2   100000  1620069408552  1620069413832
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 76.44%,14.80%,100.00%
