[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      424.4   662.4    86.8   201.9   248.6   360.5   413.0   448.0   475.0   509.6   563.4   649.7  1095.7 11708.4 29067.0   4939.6     5000  1620054839122  1620054844485
read      486.1   454.0    80.4   179.7   233.3   426.1   529.2   591.5   634.0   680.1   736.8   845.3  1300.8  6576.4 12875.2  10085.0    10000  1620054845989  1620054851339
read      523.2   368.6    74.4   172.8   223.1   478.1   608.5   676.4   723.7   778.3   847.3   956.9  1187.4  3402.5 13302.1  15009.4    15000  1620054852845  1620054858162
read      572.1   449.8    80.4   174.4   223.0   517.5   658.2   733.8   790.0   858.8   949.0  1089.6  1428.4  6081.5 11738.4  19993.2    20000  1620054859666  1620054864965
read      561.3   432.9    80.4   166.1   211.7   508.6   649.1   726.1   782.4   852.5   944.8  1084.7  1422.0  4538.5 17897.3  25073.8    25000  1620054866470  1620054871811
read      569.3   387.5    74.4   165.4   210.8   517.5   662.4   740.2   799.5   872.4   974.5  1130.3  1490.7  2956.6 13089.1  29987.2    30000  1620054873316  1620054878600
read      559.3   453.7    74.4   158.6   199.4   492.3   636.7   719.8   783.9   863.9   972.2  1134.8  1590.4  5866.3 12992.3  34963.2    35000  1620054880106  1620054885387
read      552.9   402.7    74.4   160.7   202.6   498.6   641.8   721.0   777.8   847.5   940.6  1095.5  1465.5  4122.4 13596.0  40100.8    40000  1620054886893  1620054892202
read      570.4   454.7    74.4   163.8   208.0   512.6   654.4   734.6   794.6   869.3   975.4  1146.1  1589.9  3451.7 17811.9  44925.4    45000  1620054893707  1620054898996
read      572.8   475.9    74.4   163.4   207.5   503.3   645.2   727.6   789.6   867.1   978.0  1162.3  1696.1  5711.5 13957.8  49890.8    50000  1620054900502  1620054905791
read      587.3   417.3    68.9   178.4   229.5   532.0   666.2   744.2   804.9   882.5   993.9  1162.4  1576.6  3260.6 12362.8  55248.4    55000  1620054907295  1620054912587
read      590.1   423.9    68.9   179.0   235.4   543.0   670.0   743.4   798.9   867.6   970.2  1140.8  1523.0  3302.9 16256.0  60141.6    60000  1620054914091  1620054919380
read      932.4   601.6    74.4   411.6   520.5   840.2   962.8  1061.0  1150.8  1279.8  1459.3  1703.6  2252.5  7803.6 22060.7  64188.5    65000  1620054920885  1620054926171
read     1029.6   584.8    93.8   700.4   748.1   894.5  1004.2  1081.5  1155.4  1317.0  1578.1  1791.1  2213.6  7152.9 23628.3  64197.4    70000  1620054927675  1620054932958
read      980.1   594.1    86.8   655.1   700.7   850.0   937.8  1022.2  1120.5  1325.8  1522.4  1700.6  2095.6  7322.6 27914.3  67435.0    75000  1620054934464  1620054939752
read     1012.7   557.2    68.9   649.2   700.7   870.1   988.4  1088.3  1206.2  1401.1  1577.9  1792.3  2303.3  6259.3 20193.8  65183.0    80000  1620054941255  1620054946528
read     1063.7   614.4    93.8   674.7   735.1   921.6  1048.0  1149.4  1254.4  1441.4  1633.6  1862.4  2412.6  7729.8 25484.6  62446.0    85000  1620054948034  1620054953332
read      978.5   580.9    86.8   653.8   699.2   836.8   934.5  1027.7  1144.4  1375.4  1530.8  1701.5  2150.7  6327.7 22059.7  67570.5    90000  1620054954837  1620054960135
read      994.6   574.8   148.8   657.3   705.5   870.5   975.1  1047.1  1122.5  1308.0  1526.1  1734.9  2126.1  6407.4 23838.2  66538.4    95000  1620054961640  1620054966928
read     1005.0   537.8   101.3   693.7   724.2   864.7   965.9  1057.9  1158.2  1367.0  1558.4  1737.4  2179.6  5703.3 20669.6  65788.0   100000  1620054968432  1620054973717
read      970.5   544.6    74.4   661.3   706.2   842.3   929.5  1007.7  1086.2  1292.1  1522.0  1687.4  2065.5  6178.3 22128.5  68109.6   105000  1620054975222  1620054980510
read     1016.0   550.2   109.4   676.2   714.4   882.8  1004.2  1088.9  1179.0  1365.7  1554.0  1764.3  2196.9  4677.5 24438.2  65099.7   110000  1620054982014  1620054987341
read      944.3   505.3    80.4   650.3   691.9   811.8   895.0   982.2  1079.7  1313.8  1483.9  1629.2  2009.5  4845.9 18282.0  69937.4   115000  1620054988848  1620054994141
read      992.1   646.1    80.4   647.0   697.6   855.1   957.0  1052.7  1161.3  1367.2  1543.8  1726.0  2153.1  7596.5 27419.0  66901.0   120000  1620054995645  1620055000929
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.54%,1.02%,100.00%
