ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:100000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      352.6   287.1    86.8   176.3   215.4   333.6   368.7   389.9   404.4   429.2   464.1   527.2   710.7  5156.9 12326.0   4932.2     5000  1620068744162  1620068749522
read      412.9   409.6    80.4   156.6   192.3   380.3   432.5   467.6   499.2   540.7   598.4   712.7   979.0  6314.2 12832.2   9922.8    10000  1620068751026  1620068756353
read      434.3   396.6    74.4   152.9   187.9   391.0   465.4   518.7   559.0   610.2   684.6   809.2  1183.8  4914.0 12785.7  14992.4    15000  1620068757858  1620068763152
read      445.6   359.4    74.4   148.4   185.9   398.2   479.8   539.7   582.9   632.9   716.0   848.3  1292.2  4308.7 12914.7  20016.6    20000  1620068764657  1620068769960
read      466.5   382.4    74.4   144.6   181.1   411.5   503.4   565.8   612.5   675.0   762.7   918.8  1400.4  4064.2 15150.1  25011.8    25000  1620068771464  1620068776768
read      467.1   358.0    74.4   140.5   173.6   411.9   504.3   571.4   621.9   686.4   776.1   958.7  1477.4  3179.9 12217.6  30055.2    30000  1620068778273  1620068783556
read      453.9   357.1    74.4   138.1   166.9   398.6   491.2   554.8   605.0   669.1   757.1   929.0  1503.8  2600.9 12315.6  35057.8    35000  1620068785059  1620068790337
read      462.2   408.6    68.9   136.7   167.2   407.0   508.3   575.7   627.8   690.8   776.0   920.2  1497.4  2964.6 16523.2  40112.2    40000  1620068791842  1620068797146
read      453.5   355.3    74.4   137.5   165.8   398.4   496.9   561.1   611.9   675.4   759.5   932.0  1532.5  2960.4 11812.1  44995.6    45000  1620068798652  1620068803931
read      431.2   363.0    68.9   134.4   160.6   375.7   468.2   530.7   579.5   641.3   727.2   880.1  1479.4  2824.6 12388.6  50123.8    50000  1620068805435  1620068810714
read      436.1   433.8    68.9   133.3   159.5   377.4   472.9   535.2   583.8   645.7   732.1   879.7  1494.5  3829.2 13360.0  55140.2    55000  1620068812218  1620068817491
read      427.8   322.4    68.9   130.2   156.8   372.2   471.9   538.2   588.7   655.0   740.3   884.6  1430.8  2727.7  9062.6  60128.0    60000  1620068818996  1620068824288
read      413.3   360.6    68.9   129.0   154.6   355.9   447.2   504.4   550.3   614.8   706.6   862.6  1448.0  3242.1 12648.5  65029.2    65000  1620068825792  1620068831090
read      413.8   384.2    68.9   130.5   156.0   353.3   448.1   508.3   556.7   622.0   712.0   859.6  1388.2  3154.2 16421.6  69906.3    70000  1620068832594  1620068837886
read      415.7   328.6    68.9   132.3   158.8   360.7   454.4   513.1   560.5   622.9   708.4   851.4  1406.6  3051.6 10481.6  75212.6    75000  1620068839390  1620068844677
read      410.3   363.9    68.9   132.5   159.1   357.3   448.7   504.0   548.2   607.4   686.3   822.0  1333.8  3712.2 15171.4  79703.9    80000  1620068846181  1620068851481
read      415.8   383.3    68.9   135.3   164.1   364.9   457.0   512.1   556.3   613.4   691.4   827.7  1304.1  3511.0 12759.8  84934.7    85000  1620068852986  1620068858265
read      403.3   375.6    74.4   136.6   163.4   342.6   433.6   492.9   539.3   598.0   684.0   828.7  1332.1  3618.0 12618.0  90092.6    90000  1620068859770  1620068865058
read      432.2   319.7    68.9   146.4   179.5   384.0   477.3   536.5   582.1   638.2   719.5   858.9  1227.1  3155.4 11349.9  94876.2    95000  1620068866562  1620068871860
read      457.5   341.3    74.4   160.1   199.6   409.4   500.0   559.4   608.5   671.7   758.2   897.9  1236.5  2820.8 12827.3 100070.6   100000  1620068873364  1620068878641
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 78.47%,19.39%,100.00%
