ubuntu@client-measure-gzb1:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.206 -a 10.156.15.205 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (80083, 90397, 38488, 34602, 84193, 89560, 44468, 30320, 40131, 10463, 47345, 24789, 88117, 18060, 59550, 33289, 59567, 40904, 85691, 92379, 15694, 86631, 17146, 84089, 50939, 13032, 13461, 93275, 65355, 34709, 90908, 79173, 78319, 69092, 51106, 52974, 9748, 16405, 70762, 94833, 18295, 12536, 31934, 96742, 94128, 52934, 91537, 23168, 14099, 73054, 35849, 59626, 85110, 12129, 30356, 74407, 70061, 85608, 18354, 54508, 40122, 50073, 78263, 90253, 88423, 21843, 83257, 42533, 89803, 40791, 78962, 44951, 70108, 21608, 13433, 93706, 91135, 6333, 94888, 91628, 22911, 76702, 65863, 16331, 67722, 15737, 51908, 42874, 28352, 30284, 11261, 72443, 32899, 67939, 47416, 75164, 70391, 21233, 74946, 14036, 60244, 21415, 95076, 20683, 56783, 81654, 81251, 47714, 46336, 72704, 48692, 57861, 67195, 89424, 30171, 93632, 81064, 39217, 33123, 27375, 33865, 59830, 91881, 98091, 63539, 17184, 47637, 82871, 5101, 95077, 45444, 89073, 25871, 34513, 17481, 99526, 37815, 36716, 81576, 86968, 89679, 38208, 91446, 13217, 70180, 85009, 22210, 67810, 71666, 83649, 69631, 84259, 65748, 91881, 7211, 29348, 49744, 60204, 12555, 58931, 90943, 13388, 94504, 96316, 61686, 36730, 39176, 16106, 89129, 10035, 74203, 61352, 19836, 69965, 88717, 25360, 90085, 34678, 38144, 59689)
Average QPS expected = 55151
Timestamp start: 1621280357631
Timestamp end: 1621282158036

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      433.8   755.2    74.4   134.1   158.6   342.9   429.7   483.7   527.2   582.8   659.5   798.6  2538.1 10502.5 31190.3  80170.1    80083
read      805.1  1106.2    74.4   180.8   238.9   579.3   741.3   937.1  1095.3  1282.7  1555.6  2101.4  3688.4 12761.0 35191.4  90374.1    90397
read      630.0  1645.3    74.4   134.0   159.6   341.0   451.9   549.5   626.0   780.9  1171.8  1544.3  5290.3 30953.9 37763.7  38569.9    38488
read      547.4   896.2    74.4   125.5   145.6   336.4   470.5   596.5   793.6  1091.0  1265.6  1464.5  2101.2 11090.7 32218.5  34613.0    34602
read      454.2   802.8    74.4   135.9   161.8   350.7   432.7   485.9   530.5   590.0   676.1   842.3  2697.2  9949.7 31841.5  83975.7    84193
read      431.2   747.2    68.9   136.2   162.6   348.1   430.9   481.2   522.4   576.9   653.3   786.7  2305.5  8761.9 31945.2  89735.6    89560
read      547.4   938.2    68.9   125.5   147.0   332.5   451.1   557.6   681.4  1023.7  1356.5  1638.8  2260.7 11412.8 32343.9  44438.2    44468
read      520.5   634.1    74.4   127.9   148.8   343.1   496.1   646.8   850.5  1037.1  1176.2  1360.5  1706.4  6499.7 25780.0  30243.2    30320
read      509.0   571.1    74.4   121.4   141.0   325.4   428.8   512.2   596.8   919.5  1437.6  1690.2  2079.7  3989.0 13595.0  40083.8    40131
read      438.4   619.4    80.4   140.1   167.4   372.8   484.8   549.3   591.8   638.8   697.0   791.8  1191.7  7247.1 29321.1  10491.3    10463
read      501.7   682.0    74.4   120.2   139.1   313.6   408.6   479.4   544.3   662.8  1477.5  1837.5  2284.5  5479.4 22039.7  47408.7    47345
read      500.4   574.2    74.4   126.4   147.7   347.0   516.5   685.2   825.5   937.5  1055.8  1185.9  1510.9  5744.4 22262.0  24857.1    24789
