ubuntu@client-measure-gzb1:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.206 -a 10.156.15.205 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (43932, 43623, 73054, 44286, 5259, 94419, 92351, 9177, 8942, 48040, 28517, 46572, 56940, 60508, 78399, 90882, 19490, 48113, 19791, 70043, 75178, 17027, 78035, 59568, 56655, 25360, 91196, 71342, 49426, 37329, 40967, 88114, 63933, 70427, 67102, 46070, 66909, 28301, 29563, 44040, 65045, 57820, 42878, 97069, 73920, 61867, 27591, 59742, 46096, 25502, 10505, 90839, 63800, 26969, 54154, 75004, 29519, 77727, 99771, 83743, 29494, 34472, 88177, 67122, 87955, 52813, 65459, 72106, 61280, 50243, 82484, 64777, 99294, 36022, 10125, 70040, 19494, 17360, 74408, 81701, 11891, 18479, 70451, 84879, 31648, 29190, 54829, 30017, 80488, 57133, 86549, 67239, 62299, 73441, 88323, 55250, 70545, 48776, 38150, 66712, 46882, 40673, 90044, 93469, 83353, 38346, 25960, 17363, 28919, 58805, 62854, 95009, 35696, 45643, 25588, 28793, 30522, 17990, 15966, 12795, 99586, 98562, 88671, 14954, 11676, 23016, 29243, 82864, 83607, 31445, 37337, 80420, 41028, 76552, 26531, 13008, 71294, 92192, 11410, 18756, 68280, 85441, 71143, 22680, 79306, 43643, 43318, 87227, 68654, 6744, 58676, 73085, 77222, 64012, 79515, 29783, 40666, 65531, 56981, 83402, 93239, 25415, 64903, 33516, 85920, 52948, 44078, 23922, 46817, 85466, 17293, 85319, 17128, 58529, 69184, 77573, 77541, 22592, 29605, 96651)
Average QPS expected = 54385
Timestamp start: 1621277880388
Timestamp end: 1621279680788

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      513.1   709.4    68.9   116.3   136.0   319.4   444.4   559.6   696.1  1029.0  1278.2  1522.6  1986.4  9405.7 30280.2  40874.8    40967
read      445.0   634.0    68.9   131.2   158.8   351.9   443.1   500.8   545.1   603.1   689.0   889.1  2255.2  7513.3 30296.8  88114.0    88114
read      446.6   664.6    68.9   122.9   144.8   331.5   434.7   496.5   543.7   608.5   709.4  1086.0  2363.9  7244.2 30313.4  63964.6    63933
read      424.4   634.6    68.9   122.7   145.2   331.3   427.6   484.5   528.9   585.9   671.0   834.1  2377.1  6626.2 30542.7  70366.5    70427
read      431.2   586.8    68.9   121.9   144.4   328.9   427.2   487.2   533.9   594.0   687.8   928.2  2378.6  5661.9 25783.7  67073.4    67102
read      512.5   893.5    68.9   112.2   130.4   304.4   412.4   494.9   575.0   743.6  1395.9  1720.4  2189.4 10988.4 31482.4  46027.0    46070
read      435.9   659.3    68.9   121.0   143.8   331.5   428.0   486.3   531.9   591.1   683.4   894.7  2427.4  7213.4 30519.5  66933.1    66909
read      502.4   689.3    68.9   118.5   139.1   333.0   498.2   663.5   815.3   950.9  1076.3  1211.9  1654.9  8260.4 30921.4  28281.0    28301
read      507.4   604.5    68.9   119.9   140.4   336.7   503.9   675.5   835.7   983.5  1108.2  1254.9  1682.0  6932.1 21662.2  29463.1    29563
read      459.5   515.7    68.9   111.5   128.3   287.6   385.3   457.7   527.4   681.4  1339.9  1588.9  1964.4  3883.7 10175.7  44136.3    44040
read      427.3   526.0    68.9   116.8   136.3   300.6   397.5   457.8   504.9   570.2   684.9  1525.8  2351.7  3981.0 13108.9  64945.0    65045
read      459.0   687.6    68.9   113.6   131.4   287.4   386.8   453.3   508.1   590.9   866.2  1754.5  2382.6  6251.2 25874.1  57839.2    57820
read      497.3   629.3    68.9   115.4   134.0   309.8   426.4   523.7   629.3   951.4  1305.7  1578.9  2013.8  6114.3 19503.7  42920.8    42878
read      428.2   478.6    68.9   133.7   162.5   350.2   441.0   496.8   538.5   591.6   675.2   871.8  1895.5  5119.4 14752.3  97043.7    97069
read      436.3   702.7    68.9   125.0   147.9   334.0   429.0   486.2   531.5   589.9   678.1   859.9  2468.2  8838.5 31004.4  73882.2    73920
read      448.8   602.5    68.9   120.1   140.9   319.0   421.5   485.6   539.4   617.5   746.2  1426.3  2294.2  5793.1 23107.7  61705.9    61867
read      504.2   796.1    68.9   116.8   136.6   329.8   499.2   664.1   809.1   944.3  1057.6  1196.5  1632.0 10072.2 31624.6  27671.2    27591
read      482.7   728.5    68.9   119.9   141.4   316.2   422.8   494.0   555.8   653.1   906.1  1669.4  2463.7  7696.6 29418.6  59746.1    59742
read      504.0   921.0    68.9   110.4   126.8   294.9   399.4   474.8   546.6   682.2  1435.8  1727.4  2171.4 10974.1 32226.8  46049.8    46096
read      517.2   873.4    68.9   118.7   139.4   337.0   514.3   683.2   806.4   910.8  1020.2  1166.1  2034.2 10712.0 32141.3  25536.3    25502
read      623.1  1950.6    74.4   127.8   152.9   358.9   469.6   533.3   575.5   623.3   682.7   812.2  7851.6 31656.4 37563.7  10507.8    10505
read      452.0   699.8    68.9   131.6   160.3   352.2   442.7   500.7   544.8   602.8   689.2   911.4  2377.3  8473.9 31211.2  90769.1    90839
read      476.5   773.9    68.9   122.3   144.8   328.7   431.5   498.5   552.3   631.2   770.3  1501.4  2555.6  8649.3 31392.4  63811.7    63800
read      534.9   959.5    68.9   120.2   141.0   341.6   516.4   681.2   817.4   936.4  1059.1  1207.6  2284.4 11754.6 32394.2  26938.8    26969
read      495.0   862.6    68.9   115.6   133.5   295.8   401.1   474.2   538.8   639.2  1282.8  1831.6  2420.5 10448.9 31352.9  54281.8    54154
read      449.9   661.6    68.9   127.8   150.9   336.5   431.3   493.5   541.9   604.2   700.7  1010.3  2613.2  6850.1 30351.5  74815.1    75004
read      545.4  1007.9    68.9   122.4   141.7   335.8   510.0   675.0   829.2   974.4  1098.4  1274.4  2624.6 13559.7 37144.7  29507.2    29519
read      461.5   643.3    68.9   128.7   153.0   340.6   437.4   502.5   553.7   622.5   733.1  1361.9  2500.0  6495.6 30240.5  77772.0    77727
read      427.3   640.8    68.9   135.1   164.5   357.9   446.9   498.4   538.3   591.2   672.9   823.1  1388.3  8033.7 31141.9  99704.5    99771
read      418.1   664.3    68.9   124.3   147.3   328.4   417.7   473.0   517.5   574.5   653.9   806.1  2394.3  7071.6 31187.3  83840.7    83743
read      505.1   674.4    68.9   119.5   139.4   333.5   495.6   648.9   810.2   959.5  1100.8  1246.6  1702.0  8199.6 30424.8  29528.5    29494
read      491.8   556.4    68.9   118.8   138.2   320.3   463.9   614.5   803.4   989.7  1143.2  1293.2  1687.1  5763.5 18144.8  34554.6    34472
read      450.9   619.4    68.9   134.7   161.6   345.4   436.9   497.8   546.1   609.4   699.9  1018.9  2366.4  6561.2 29620.5  88098.3    88177
read      455.8   665.1    74.4   127.3   149.8   326.0   424.5   486.4   537.0   608.4   722.1  1355.5  2524.2  6799.9 30271.7  67204.3    67122
read      479.5   650.2    68.9   138.3   167.3   355.1   450.1   514.8   568.5   638.5   756.6  1442.4  2483.6  7434.8 30019.6  87898.0    87955
read      480.6   674.8    68.9   116.3   135.4   295.5   399.4   472.1   537.5   642.5  1292.4  1771.1  2306.8  6280.2 23227.2  52767.0    52813
read      460.1   615.2    68.9   127.6   150.2   327.3   430.2   496.2   548.9   627.0   764.4  1454.0  2380.0  5703.1 21477.8  65411.9    65459
read      427.3   632.9    68.9   127.0   149.5   328.4   423.2   479.7   524.1   583.0   667.3   853.4  2403.7  7046.8 30791.8  72214.0    72106
read      465.4   632.6    68.9   126.3   147.7   324.1   429.8   497.6   557.3   643.5   805.5  1515.0  2328.5  6016.6 27750.3  61259.5    61280
read      511.5   921.5    68.9   114.7   133.4   296.8   402.5   478.8   548.5   673.9  1438.9  1810.1  2364.9 11428.2 31410.4  50115.8    50243
read      445.3   662.1    68.9   132.1   157.6   341.2   432.1   491.1   538.4   598.9   687.8   932.2  2507.1  7121.5 30733.9  82504.5    82484
read      456.9   705.6    68.9   124.3   146.2   321.0   422.7   486.9   538.1   610.8   734.2  1402.1  2475.3  7556.4 30648.6  64799.3    64777
read      424.6   571.3    68.9   138.7   167.5   356.4   443.2   494.5   534.7   587.8   665.7   807.2  1617.0  7425.7 27784.9  99481.2    99294
read      498.2   670.1    68.9   121.9   142.2   319.8   452.4   588.3   754.5   981.9  1156.8  1329.8  1751.0  8126.7 30271.8  35982.6    36022
read      725.6  2104.2    74.4   142.9   175.8   396.8   527.4   608.9   671.1   772.1   984.5  1399.1  8120.2 32290.8 47513.0  10233.7    10125
read      796.6   952.0    68.9   175.2   237.0   600.0   855.8   989.5  1094.0  1256.4  1544.3  1963.3  3089.2  8846.8 35126.3  69997.3    70040
read      556.9  1254.7    74.4   126.6   148.5   357.5   530.0   666.4   746.2   819.3   908.1  1056.8  3766.6 15871.9 37020.8  19493.2    19494
read      569.3  1417.5    74.4   125.8   148.4   359.9   527.0   645.8   714.6   783.7   864.5  1011.5  4413.9 28500.6 36943.9  17356.8    17360
read      465.1   672.5    68.9   133.3   158.4   343.1   438.8   502.6   553.4   621.6   726.7  1326.4  2583.6  7287.9 30315.8  74416.8    74408
read      428.2   676.4    68.9   130.9   155.5   335.7   425.4   479.8   523.8   579.6   661.0   823.8  2495.7  7230.9 31074.4  81558.0    81701
read      578.4  1681.9    74.4   131.7   156.5   364.3   480.9   554.2   601.8   654.2   726.2   868.8  5759.0 31047.6 41016.0  11945.3    11891
read      567.0  1439.2    68.9   127.1   149.1   359.9   523.5   644.6   716.9   786.8   865.8  1007.6  4601.3 29896.6 37635.2  18464.4    18479
read      465.5   688.6    68.9   127.4   150.7   331.3   427.9   491.3   543.5   617.3   738.3  1395.5  2649.4  6900.0 30619.8  70428.1    70451
read      414.6   689.7    68.9   126.8   150.4   325.6   411.8   465.8   507.9   563.3   637.2   778.7  2430.1  7983.6 31403.2  84927.8    84879
read      523.4   924.4    68.9   120.2   140.7   327.9   479.2   626.9   803.4   975.6  1115.0  1280.8  1897.8 12794.3 32360.8  31663.8    31648
read      487.9   609.0    74.4   119.7   140.2   322.4   480.3   647.6   805.3   935.0  1050.5  1200.5  1588.4  7797.1 20099.4  29088.5    29190
