ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:100000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      378.3   580.8    80.4   180.9   221.2   344.4   376.6   397.3   413.8   434.9   471.1   545.3   781.6  7595.0 31005.2   5044.2     5000  1620068902442  1620068907781
read      401.4   348.4    80.4   155.6   191.1   373.1   427.2   464.5   496.7   538.6   597.4   697.9   942.7  4032.9 15077.2   9959.6    10000  1620068909285  1620068914617
read      458.5   451.3    74.4   155.1   193.8   408.9   488.8   543.9   588.5   646.2   731.1   861.1  1247.1  6327.7 20213.6  15115.2    15000  1620068916121  1620068921415
read      460.8   368.9    74.4   148.8   185.9   401.7   494.3   557.2   605.2   667.0   756.8   923.4  1373.7  4018.1  9279.1  19829.2    20000  1620068922919  1620068928217
read      480.6   381.5    74.4   144.1   178.4   411.4   515.8   586.4   640.2   713.4   809.8  1085.9  1487.6  3845.1 12516.8  25004.8    25000  1620068929721  1620068935013
read      479.9   364.5    74.4   142.0   175.3   417.0   522.2   590.0   639.8   702.5   789.3  1045.0  1540.5  4010.4 11963.1  29890.2    30000  1620068936518  1620068941849
read      474.6   409.5    68.9   142.7   173.7   414.1   517.9   585.0   635.2   699.3   784.7   978.7  1555.7  3971.9 12677.0  34989.8    35000  1620068943355  1620068948642
read      461.7   386.2    68.9   137.7   167.3   405.5   504.1   571.4   622.3   685.5   766.1   924.2  1524.3  3663.1 12776.0  40091.4    40000  1620068950146  1620068955426
read      458.7   321.2    68.9   138.3   167.0   401.7   504.8   574.0   627.1   692.3   778.4   946.8  1563.6  2385.5  8409.0  45027.2    45000  1620068956931  1620068962235
read      454.6   412.3    68.9   137.0   165.2   387.8   490.7   560.5   617.4   686.1   775.7   963.8  1592.9  3069.7 15809.0  49949.8    50000  1620068963739  1620068969026
read      430.3   390.6    68.9   133.5   158.9   369.2   467.4   531.4   582.3   646.1   733.8   880.8  1451.8  3905.4 12555.2  54817.2    55000  1620068970533  1620068975832
read      434.9   372.8    68.9   132.5   159.0   371.8   472.4   540.5   592.0   657.1   744.7   902.7  1533.6  3210.5 12717.2  59737.6    60000  1620068977336  1620068982638
read      426.4   388.7    68.9   132.4   158.0   362.8   461.8   524.3   574.8   637.0   725.8   873.1  1509.1  3585.1 12286.2  65162.8    65000  1620068984142  1620068989424
read      427.0   341.5    68.9   131.9   158.8   364.1   464.7   529.6   580.6   644.4   737.4   896.2  1474.6  3388.0  9056.9  69933.4    70000  1620068990927  1620068996222
read      425.6   377.2    68.9   134.1   161.3   365.2   461.3   522.2   570.8   632.3   718.7   865.1  1453.1  3785.4 12058.7  74958.4    75000  1620068997727  1620069003015
read      417.2   408.3    68.9   136.4   163.3   358.8   452.8   510.7   557.9   618.3   700.2   839.7  1375.7  3838.3 14528.4  79692.8    80000  1620069004521  1620069009819
read      416.0   353.3    68.9   135.7   163.2   361.4   454.6   512.5   558.6   616.7   698.3   838.1  1313.2  3822.3 11764.3  84836.8    85000  1620069011323  1620069016616
read      413.4   359.9    68.9   139.0   168.1   362.0   453.9   510.7   557.1   614.9   690.9   816.1  1226.1  3850.1 12308.4  89775.6    90000  1620069018120  1620069023399
read      426.5   358.7    74.4   145.7   177.7   377.4   466.5   523.9   569.4   626.0   705.6   841.1  1222.0  3538.4 14112.4  95072.4    95000  1620069024904  1620069030203
read      483.6   366.9    63.8   169.0   213.7   433.2   528.7   590.5   640.0   705.4   793.7   940.5  1271.8  3346.6 12912.9 100102.2   100000  1620069031707  1620069037015
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 81.28%,25.13%,100.00%
