./mcperf -s 10.156.15.226 --loadonly && ./mcperf -s 10.156.15.226 -a 10.156.15.227 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 \
> --qps_interval 5 --qps_min 5000 --qps_max 100000 \
> --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1621944135233
Timestamp end: 1621945935951

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      513.2   707.6    74.4   144.9   177.7   429.5   534.4   596.7   648.1   714.4   812.0  1016.8  2082.0  8099.1 31263.0  74926.2    75020
read      632.5  1299.7    86.8   149.7   178.9   466.2   625.8   717.0   783.8   860.6   958.3  1147.6  3889.5 22748.9 35738.2  12515.0    12441
read      596.6  1206.3    74.4   137.6   165.0   406.8   520.4   592.4   655.1   740.4   887.9  1617.4  4493.3 14419.5 36748.7  56059.2    56208
read      615.3  1090.1    80.4   139.3   165.4   458.9   639.1   757.0   838.6   922.7  1033.8  1197.3  3854.9 12922.7 36829.6  17389.4    17446
read      555.9   821.3    80.4   163.8   212.0   463.5   544.5   598.8   652.7   739.3   873.4  1067.7  2237.7 10441.1 31973.7  86731.4    86943
read      585.4   950.6    80.4   134.4   158.2   391.9   517.3   611.6   702.4   869.6  1296.9  1735.6  2644.9  9763.0 35619.3  49225.8    49138
read      562.7   922.7    74.4   132.1   155.7   385.2   504.3   588.2   662.5   778.3  1094.5  1681.0  2860.3  9192.6 32249.0  49880.4    49839
read      585.4   768.4    80.4   131.8   154.6   373.5   507.8   625.4   762.1  1099.1  1468.2  1784.8  2369.2  7166.3 30852.8  47588.0    47752
read      519.3   962.3    74.4   127.0   146.7   369.8   509.6   590.9   653.7   737.2   900.0  1205.2  3656.1  9091.5 32052.9  27172.0    27181
read      410.5   741.3    86.8   158.3   186.8   342.4   397.8   436.6   472.3   508.5   555.0   634.8  2219.3 11961.7 32286.0   6197.8     6170
read      450.7  1099.9    86.8   151.3   178.5   350.9   419.0   469.7   505.3   546.3   602.6   701.5  2596.8 11834.2 37633.9   7228.2     7187
read      636.7   743.9    80.4   334.0   393.8   531.9   586.0   640.1   743.3   891.0   990.4  1087.8  1480.8  9273.1 32122.1  99363.6    99387
read      563.0   679.3    74.4   188.7   251.1   486.1   554.0   606.4   666.1   770.4   904.1  1054.8  1742.8  8938.9 29490.9  92073.0    91970
read      498.3   714.2    74.4   144.7   177.6   415.3   513.7   571.0   617.8   684.3   790.0   974.1  2030.1  9490.7 31457.6  79845.0    79658
read      676.6  1447.2    74.4   143.8   176.4   419.0   528.5   605.6   679.6   792.2  1058.3  1943.3  5052.3 28189.9 37700.0  59246.4    59230
read      794.7  1832.2    74.4   224.4   300.0   504.5   584.3   655.6   738.1   852.1   990.4  1301.4  8616.8 31029.5 38909.3  78121.6    78081
read      695.2  1466.1    80.4   149.8   187.9   428.0   529.7   609.5   689.7   815.1  1114.9  1869.3  5611.0 27433.3 37160.3  64091.6    64242
read      632.1  1144.8    74.4   132.7   155.6   393.2   538.5   660.0   786.3  1073.8  1402.6  1717.6  3525.2 14052.5 36558.4  37573.6    37702
read      641.0  1295.6    74.4   132.9   156.0   392.5   528.4   636.7   738.4   966.8  1359.8  1740.3  4541.8 19681.1 36983.8  40980.6    40686
read      608.5  1057.8    74.4   132.1   154.7   402.1   577.5   704.1   849.8  1079.0  1279.7  1517.2  2783.9 10426.9 37774.4  30460.8    30376
read      621.3  1074.9    74.4   132.7   155.6   395.0   544.8   667.0   787.9  1053.1  1380.6  1694.3  3252.7 11780.9 36412.7  38362.0    38416
read      687.6  1457.1    74.4   153.0   192.8   439.8   544.4   623.6   696.1   812.7  1054.0  1787.1  5151.7 29146.1 37728.2  65701.2    65892
