[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      416.7   813.9    74.4   180.0   231.1   359.3   418.7   452.6   477.2   505.7   545.6   613.7   997.9 10532.3 36767.4   4991.4     5000  1620055803703  1620055809083
read      482.8   495.6    68.9   146.7   188.7   435.8   548.1   609.7   651.0   698.2   758.1   860.5  1159.0  5298.4 25200.5   9939.6    10000  1620055810592  1620055815957
read      517.8   388.2    68.9   138.4   172.2   452.4   597.8   688.3   755.3   838.9   966.6  1087.8  1320.1  4242.0 10018.3  14944.2    15000  1620055817461  1620055822762
read      523.4   547.5    68.9   131.7   161.9   404.0   578.2   709.3   812.9   955.0  1059.3  1178.8  1458.0  6036.0 17250.6  19974.6    20000  1620055824267  1620055829571
read      561.2   524.3    68.9   135.8   165.8   404.3   589.5   754.8   953.6  1092.7  1200.6  1367.2  1718.0  3054.4 16060.2  25045.4    25000  1620055831077  1620055836377
read      543.3   580.6    68.9   131.3   157.9   360.4   531.5   690.2   927.0  1108.0  1237.6  1415.1  1738.1  4362.5 21040.6  30006.4    30000  1620055837881  1620055843180
read      532.3   528.1    68.9   126.9   151.8   349.1   503.1   639.7   863.2  1098.5  1258.6  1474.2  1855.4  4247.6 13893.8  34963.4    35000  1620055844684  1620055849970
read      537.8   619.4    63.8   125.8   150.4   344.4   488.6   611.7   774.3  1093.5  1313.7  1566.5  2019.7  5310.3 17569.3  40019.2    40000  1620055851474  1620055856782
read      511.0   548.8    63.8   120.8   145.1   322.0   450.0   563.9   700.0  1045.4  1303.5  1576.1  2036.1  2949.1 15248.8  45084.8    45000  1620055858285  1620055863568
read      534.5   615.2    63.8   124.4   148.9   336.3   455.5   547.0   651.7   994.7  1374.8  1771.4  2403.2  4339.8 17616.2  49873.8    50000  1620055865073  1620055870354
read      543.5   660.7    63.8   128.2   152.5   334.5   446.3   532.5   629.1   934.3  1405.0  1875.2  2639.4  5087.6 18015.8  54841.4    55000  1620055871859  1620055877152
read      590.7   982.6    63.8   132.0   159.0   343.3   455.1   537.6   620.4   820.6  1415.4  2055.1  3556.7  9365.6 31961.9  59874.2    60000  1620055878658  1620055883942
read      626.1  1349.4    63.8   133.9   162.1   339.7   438.3   514.6   588.9   733.0  1291.2  2121.7  4969.1 19549.5 36594.6  65061.6    65000  1620055885448  1620055890722
read      951.9  2651.1    63.8   188.3   227.3   391.8   499.3   573.5   630.0   703.5   844.8  3334.7 12495.1 32033.8 40727.7  69689.8    70000  1620055892228  1620055897522
read     1043.7  3050.5    68.9   229.3   261.6   401.7   524.0   593.7   639.7   696.9   794.8  2327.5 13342.9 32319.3 40056.5  70083.4    75000  1620055899027  1620055904304
read     1116.2  3195.5    68.9   264.1   293.2   418.8   561.5   639.2   682.6   735.6   829.8  2803.2 13892.3 32300.7 40537.1  67161.8    80000  1620055905808  1620055911091
read     1052.9  3102.7    68.9   243.0   269.6   405.8   537.2   597.6   636.1   689.2   787.7  1215.7 13239.6 32349.7 42647.0  70751.3    85000  1620055912596  1620055917886
read     1106.2  3190.8    68.9   256.6   286.4   423.9   553.9   628.9   677.9   738.2   837.7  2449.8 16325.0 32326.5 42709.1  67972.0    90000  1620055919391  1620055924685
read     1038.2  3072.7    74.4   245.3   273.3   389.5   530.9   600.4   637.5   683.3   762.8  1369.2 12949.8 32318.8 43352.8  72029.0    95000  1620055926190  1620055931489
read     1109.0  3182.9    80.4   272.8   300.9   416.8   549.9   637.1   682.3   734.1   817.1  2638.0 13953.9 32457.8 42896.8  67675.2   100000  1620055932995  1620055938281
read     1093.3  3129.8    74.4   263.4   291.7   413.5   560.4   632.9   674.4   725.6   817.6  2272.7 13490.0 32381.6 41771.0  68191.2   105000  1620055939787  1620055945075
read     1084.3  3170.3    80.4   265.3   291.6   404.9   544.8   620.9   662.2   708.9   791.4  1270.6 13606.6 32476.6 45996.7  69187.4   110000  1620055946580  1620055951903
read      988.7  2976.3    80.4   239.2   262.9   376.9   516.8   573.2   607.0   645.3   717.7  1026.5 12897.9 32213.6 44707.8  74962.8   115000  1620055953407  1620055958693
read     1077.2  3140.2    86.8   257.7   283.4   406.3   547.7   616.6   658.5   707.6   789.4  1282.3 13425.6 32371.8 40816.0  69579.2   120000  1620055960198  1620055965481
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.62%,4.98%,100.00%
