[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      440.1  1013.5    80.4   189.8   244.3   361.9   410.1   437.7   460.9   491.6   543.1   639.3  1341.0 14027.2 32124.9   4972.0     5000  1620055603342  1620055608685
read      453.8   524.0    74.4   143.4   182.0   395.5   491.5   557.6   605.0   660.5   738.9   843.8  1085.1  6304.5 30121.7   9989.0    10000  1620055610192  1620055615518
read      498.4   339.2    68.9   140.2   173.3   409.9   570.1   695.4   767.3   836.1   917.7  1047.3  1345.4  2187.4 10449.4  15042.0    15000  1620055617022  1620055622327
read      530.8   503.7    68.9   140.4   172.7   403.5   580.0   733.7   834.6   930.9  1040.1  1226.2  1500.9  5190.9 19100.5  19838.0    20000  1620055623831  1620055629130
read      526.8   538.4    74.4   128.2   153.3   357.8   486.5   638.1   865.4  1062.4  1254.0  1392.7  1723.4  4527.8 14667.8  24983.8    25000  1620055630635  1620055635944
read      553.1   596.9    68.9   128.1   154.1   363.7   491.3   610.2   806.0  1189.5  1369.1  1590.6  1979.1  5250.8 16494.6  29931.5    30000  1620055637449  1620055642734
read      537.1   550.8    63.8   133.2   159.4   356.3   488.0   634.9   822.2  1078.9  1312.3  1506.4  1884.3  3059.5 16932.0  34949.4    35000  1620055644242  1620055649521
read      531.9   580.5    63.8   129.7   154.5   347.0   472.2   596.0   743.5  1059.9  1332.3  1567.6  1989.1  4495.2 17590.3  39842.6    40000  1620055651026  1620055656322
read      536.9   563.6    63.8   132.4   157.7   345.3   464.7   580.4   710.2  1019.0  1363.5  1674.5  2241.7  3568.2 15243.4  44816.0    45000  1620055657828  1620055663108
read      540.7   659.3    68.9   129.4   153.7   337.9   446.0   544.4   659.9   965.1  1399.5  1762.4  2382.8  6559.2 15456.4  50051.6    50000  1620055664613  1620055669897
read      521.3   640.6    63.8   124.3   148.1   320.0   420.6   502.8   598.7   846.4  1383.8  1802.0  2531.4  4231.0 17227.4  55175.0    55000  1620055671402  1620055676708
read      582.3   996.7    63.8   128.1   154.8   336.2   441.6   521.2   602.9   781.8  1415.9  2061.7  3553.2  9229.2 32432.6  60107.4    60000  1620055678213  1620055683494
read      608.5  1211.9    63.8   127.8   156.5   337.5   433.4   503.9   572.8   690.9  1331.2  2246.6  4848.4 12093.8 34551.3  65093.0    65000  1620055684998  1620055690282
read      762.0  1899.9    63.8   148.2   189.0   367.6   465.4   541.1   606.8   693.4   921.4  2486.0  9291.1 30792.9 38707.9  69761.4    70000  1620055691786  1620055697080
read     1096.2  3159.0    63.8   239.1   273.7   414.7   539.6   619.3   672.3   735.8   839.0  3099.8 13944.8 32410.4 42172.2  67007.2    75000  1620055698586  1620055703892
read     1011.6  3048.9    63.8   235.0   262.1   378.6   504.5   575.3   617.5   666.3   742.8  1087.5 12901.7 32210.4 40549.2  72567.8    80000  1620055705397  1620055710699
read     1061.5  3123.9    68.9   259.7   283.2   394.4   542.2   611.7   650.8   694.7   779.7  1131.9 13347.2 32262.6 42849.5  70222.9    85000  1620055712203  1620055717505
read     1054.2  3173.9    68.9   257.2   280.8   390.3   528.2   602.9   643.0   688.7   760.4  1096.8 13693.4 32427.5 49940.5  71487.4    90000  1620055719009  1620055724299
read     1078.4  3179.8    80.4   272.4   296.5   396.9   536.5   621.6   664.0   710.3   785.1  1139.0 14489.3 32350.7 46841.7  69745.4    95000  1620055725803  1620055731090
read     1067.4  3174.1    63.8   274.6   296.8   393.6   521.1   615.9   658.4   702.0   778.0  1170.2 16287.6 33163.9 50127.6  70423.2   100000  1620055732596  1620055737890
read     1049.5  3089.0    63.8   260.4   283.3   388.2   536.0   608.9   646.3   689.1   765.0  1166.3 12900.1 32329.3 43997.0  71381.2   105000  1620055739395  1620055744703
read     1054.1  3129.0    86.8   257.1   280.8   400.6   516.8   590.1   638.6   699.2   779.2  1109.4 13564.7 32380.4 45469.0  71106.4   110000  1620055746207  1620055751490
read     1068.7  3128.0    68.9   272.1   295.7   401.0   525.9   614.5   660.2   710.8   791.0  1160.8 13830.2 32281.3 42399.2  69801.2   115000  1620055752993  1620055758279
read     1091.4  3162.8    68.9   279.5   302.0   401.8   538.5   630.0   673.7   723.0   802.4  1290.0 13743.3 32312.7 40674.0  68769.3   120000  1620055759782  1620055765083
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.59%,9.14%,100.00%
