[ubuntu@client-measure-qrpg:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.43 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      410.3   447.4    86.8   187.1   241.6   371.9   420.8   450.0   471.3   500.4   541.7   625.0  1001.9  6391.6 13445.8   4974.2     5000  1620055999643  1620056005005
read      461.7   361.8    68.9   141.8   179.8   400.0   510.5   583.8   632.7   722.1   804.6   901.3  1121.9  4452.4 10673.5   9949.4    10000  1620056006514  1620056011861
read      496.2   461.2    74.4   143.4   175.5   405.5   547.9   670.6   764.6   842.8   912.0  1009.7  1290.0  3904.2 21185.1  14955.2    15000  1620056013365  1620056018663
read      563.5   497.9    68.9   146.4   179.2   434.6   619.3   799.8   890.0   975.0  1093.4  1274.5  1719.9  4492.3 12923.3  19942.4    20000  1620056020171  1620056025468
read      566.7   504.6    63.8   142.2   174.1   418.2   601.1   804.9   918.9  1025.8  1158.5  1348.0  1812.3  4091.1 14931.0  24960.2    25000  1620056026972  1620056032301
read      559.2   523.2    63.8   132.2   160.4   385.6   544.3   763.8   932.3  1095.4  1262.6  1444.6  1828.3  3879.3 14407.2  29895.0    30000  1620056033805  1620056039097
read      552.9   574.7    63.8   131.9   159.3   374.0   519.9   681.7   875.6  1071.5  1284.3  1509.1  1982.9  4340.0 19792.1  34927.0    35000  1620056040602  1620056045907
read      528.8   512.5    63.8   128.7   154.4   350.3   473.3   604.3   799.9  1057.2  1295.8  1551.0  1978.1  2749.0 14154.8  39945.2    40000  1620056047413  1620056052710
read      518.4   541.2    63.8   124.5   149.1   338.3   451.1   551.6   700.3  1001.4  1319.6  1614.7  2092.0  3820.4 13512.2  44994.4    45000  1620056054214  1620056059499
read      527.9   590.2    63.8   128.4   153.6   336.5   454.2   563.5   707.4   975.3  1318.1  1669.7  2273.3  4060.8 15091.2  49956.6    50000  1620056061005  1620056066295
read      515.3   609.7    63.8   127.2   151.0   322.2   424.0   506.2   606.5   886.0  1311.8  1769.4  2377.4  4039.3 16103.6  55041.6    55000  1620056067800  1620056073100
read      522.0   700.9    63.8   125.5   149.4   318.3   421.1   498.5   575.0   747.6  1336.7  1873.8  2715.8  5849.8 24380.0  60018.6    60000  1620056074606  1620056079905
read      607.4  1102.4    68.9   137.5   163.6   341.5   448.9   533.8   624.6   834.9  1350.6  2107.4  4106.5 10408.1 32376.1  65006.6    65000  1620056081411  1620056086700
read      949.7  2573.2    68.9   176.2   215.2   397.6   514.0   590.7   652.7   743.1   957.9  3375.5 12552.8 31979.4 41252.1  67428.6    70000  1620056088206  1620056093488
read     1120.8  3199.2    74.4   257.1   289.9   423.2   561.2   643.0   691.0   748.2   855.3  2948.1 13878.2 32460.4 46676.7  66053.2    75000  1620056094994  1620056100277
read     1053.7  3110.4    74.4   231.2   259.9   404.1   527.9   590.0   632.0   686.1   786.1  2238.5 13317.4 32472.0 43298.9  70810.6    80000  1620056101781  1620056107086
read     1126.6  3239.4    80.4   275.4   303.5   424.1   559.2   647.1   694.6   748.2   843.0  2483.5 16360.1 32375.7 46424.4  66479.0    85000  1620056108590  1620056113884
read     1034.0  3059.3    68.9   242.9   271.0   394.3   534.0   600.0   637.2   683.0   757.7  1254.4 13458.4 32216.3 41511.8  71711.4    90000  1620056115389  1620056120677
read     1043.5  3096.5    80.4   242.5   268.4   400.6   532.5   592.2   631.3   681.7   767.6  1213.2 13513.8 32300.6 44014.9  71996.6    95000  1620056122182  1620056127477
read     1065.0  3127.0    74.4   246.1   275.1   406.3   549.2   613.1   652.6   701.6   792.2  1494.6 14147.9 32334.1 44536.6  70049.0   100000  1620056128983  1620056134262
read     1094.4  3182.0    74.4   252.3   281.6   418.9   556.4   623.8   667.0   722.4   822.8  1537.9 13492.7 32387.8 50466.5  68582.7   105000  1620056135768  1620056141046
read     1037.6  3016.3    68.9   228.0   260.7   397.1   528.4   595.5   636.7   690.3   792.0  2439.5 13324.3 32212.3 41649.6  71747.5   110000  1620056142550  1620056147831
read     1081.6  3036.4    68.9   212.8   252.9   409.0   550.6   626.9   677.6   747.9   918.5  3690.0 13162.8 32220.6 42554.4  68475.0   115000  1620056149336  1620056154638
read     1026.0  2776.7    63.8   196.4   232.4   406.3   538.1   610.5   670.0   771.6  1055.0  3562.8 12787.3 32134.3 39508.5  71133.4   120000  1620056156144  1620056161424
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 57.51%,3.52%,100.00%
