ubuntu@client-measure-s921:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.3 -a 10.156.0.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (20925, 41889, 11775, 56972, 37318, 40191, 61412, 85820, 66879, 91286, 70997, 49991, 38020, 61411, 58275, 84230, 53364, 5051, 15570, 5428, 83470, 6646, 33369, 82024, 20778, 36518, 89864, 14703, 55453, 57723, 12772, 98747, 71406, 73648, 36751, 8413, 91949, 10877, 74763, 64132, 88907, 91097, 37278, 34417, 26537, 15254, 9870, 58229, 76522, 90774, 25321, 5023, 17159, 12619, 5453, 21861, 95093, 18964, 51993, 50550, 21347, 7773, 65495, 13339, 38056, 92538, 16928, 28577, 10513, 40866, 9876, 68730, 34193, 54406, 40566, 5702, 37466, 50224, 53810, 94398, 23694, 21557, 12672, 34189, 79264, 96954, 47343, 83819, 69800, 70094, 71964, 44951, 68848, 25735, 37087, 54567, 87291, 88434, 24525, 27434, 79210, 47777, 62440, 72313, 21525, 53764, 88250, 57901, 66524, 25684, 21756, 44171, 67222, 60363, 17450, 66627, 46366, 7525, 86300, 71738, 48947, 67201, 95664, 27744, 70290, 38679, 18663, 13796, 15709, 61705, 66898, 34201, 92760, 49262, 38780, 99509, 50284, 19972, 69144, 67411, 10742, 86685, 72059, 26330, 60911, 20310, 51994, 61048, 38641, 44971, 35209, 26699, 84110, 18713, 6567, 27243, 98772, 9119, 70656, 11700, 45938, 37764, 25083, 96731, 8080, 92555, 29636, 45420, 75369, 93876, 91798, 37070, 51467, 44919, 17115, 35834, 80251, 52975, 22003, 99466)
Average QPS expected = 48478
Timestamp start: 1622054712763
Timestamp end: 1622056513250

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      346.5   570.9    63.8   101.1   116.6   267.8   345.8   396.0   437.1   498.9   599.8   768.3  1293.8  6506.6 28459.8  20904.2    20925
read      422.7   709.8    63.8   100.0   114.4   271.0   358.0   422.8   482.8   590.5   909.8  1279.2  2372.0  6626.1 30564.7  41854.4    41889
read      465.0   942.9    68.9   113.9   133.9   273.1   360.4   428.3   482.0   549.2   669.8  1905.2  3610.1  8403.0 31938.0  11787.1    11775
read      489.9   938.5    63.8   108.4   127.8   298.0   387.9   453.7   515.6   631.8  1052.9  1579.9  2751.7 10066.9 32218.6  56970.5    56972
read      418.8   693.7    63.8   104.4   120.0   284.4   371.2   434.0   488.8   569.0   788.2  1176.3  2539.9  7116.1 30715.9  37265.7    37318
read      439.5   724.2    63.8   102.6   117.3   287.6   386.2   457.3   522.1   630.4   899.8  1313.7  2628.7  7560.8 31018.0  40135.0    40191
read      516.2   884.2    63.8   108.1   126.8   300.9   394.2   464.4   537.0   696.1  1227.7  1782.1  2966.9  9448.2 31530.1  61247.9    61412
read      697.4  1690.7    63.8   167.8   220.1   379.0   455.5   525.8   602.1   688.2   838.9  1818.1  8323.3 29723.1 37185.5  85793.5    85820
read      530.4   885.1    63.8   110.8   132.5   312.6   402.7   473.4   547.3   679.7  1207.5  1883.0  3065.7  8481.2 31426.7  66990.5    66879
read      545.1  1161.0    63.8   133.6   174.8   368.5   436.7   489.7   547.2   634.9   746.1  1185.9  4659.3 12789.3 32370.5  91166.7    91286
read      533.6  1109.1    63.8   112.3   135.0   307.6   391.8   455.9   518.6   623.1   997.8  1765.5  3818.1 14415.5 32332.4  70851.4    70997
read      472.8   833.5    63.8   104.9   120.4   284.0   380.4   449.9   511.4   627.7   979.5  1512.9  2996.5  7403.8 31417.2  50084.5    49991
