ubuntu@client-measure-lc9m:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.31 -a 10.156.0.30 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622160241945
Timestamp end: 1622162042320

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.1   927.4    80.4   152.5   183.5   279.1   319.7   344.3   363.9   387.7   421.2   488.5  1335.2 10837.0 32199.3   4944.0     5031
read      466.6   831.8    63.8   119.7   142.2   337.3   433.1   494.1   545.5   617.2   736.1  1169.8  2624.6  9229.1 31530.0  54791.7    54838
read      691.7  1533.8    68.9   154.0   197.0   401.1   497.9   583.1   662.9   773.6  1030.0  1934.7  6599.5 27950.0 36756.1  74858.1    74868
read      558.0  1278.3    68.9   119.0   138.5   331.3   456.9   557.0   656.8   861.8  1105.4  1422.8  3205.2 24957.1 36147.1  30011.0    30015
read      525.7   914.7    68.9   120.5   141.4   336.8   448.5   537.5   620.7   779.4  1158.3  1569.9  2753.1  9053.1 31401.3  40829.4    40743
read      424.0   855.1    68.9   116.4   133.7   303.7   408.0   475.8   532.9   609.0   740.6   957.8  2343.1  8636.8 31804.6  23637.2    23648
read      512.7   781.5    68.9   157.9   203.6   423.0   504.9   564.8   624.0   707.1   820.9   995.7  1905.5  9372.5 31595.2  97613.3    97712
read      517.9   888.6    68.9   120.6   142.7   333.7   437.0   509.3   576.7   681.5   971.4  1683.5  2921.5  8086.5 31790.8  53744.1    53672
read      620.5  1251.8    68.9   122.4   147.2   347.9   453.7   537.6   624.5   811.5  1421.8  2128.0  4362.2 17127.7 32517.8  55450.6    55395
read      437.3   825.9    68.9   110.9   127.6   301.7   402.6   475.1   535.6   620.5   791.6  1093.6  2615.2  9106.3 31632.8  29501.3    29425
read      431.2   981.5    68.9   115.5   134.2   307.0   398.5   458.1   506.7   574.4   676.3   869.4  2657.2 12206.0 32460.3  15167.6    15173
read      465.8   809.9    68.9   130.5   159.5   361.6   451.2   506.4   552.8   618.3   717.6   919.4  2568.9  9023.9 31687.5  82319.2    82475
read      493.0   979.2    68.9   133.3   168.2   383.7   462.2   509.1   553.6   623.9   732.1   914.5  2530.3 12680.3 32200.1  90463.5    90555
read      549.7  1024.0    68.9   116.3   136.7   328.3   434.3   515.6   595.2   744.0  1180.8  1771.4  3501.2  9464.7 32326.9  47994.6    47944
read      408.9   794.7    68.9   113.1   129.4   291.5   392.7   460.0   511.7   583.2   715.3   976.9  2443.0  7148.4 31663.4  28292.7    28313
read      419.9   966.0    68.9   111.1   127.6   291.4   390.6   454.6   505.1   574.2   698.8   958.7  2502.7 13496.0 32726.0  28534.8    28504
read      427.7   976.6    68.9   114.0   131.4   294.0   390.4   449.5   497.9   566.0   663.2   863.2  2737.4 13720.7 32041.2  22821.0    22886
read      504.0  1084.4    68.9   115.1   133.8   311.9   411.7   484.8   548.6   648.1   934.4  1365.0  3051.7 14328.8 35285.9  35635.6    35717
read      484.1  1246.3    68.9   112.9   130.7   295.3   387.5   447.7   499.3   574.2   689.8  1002.4  3484.0 27988.1 36717.1  14809.0    14828
read      687.1  1404.2    68.9   169.0   221.8   408.2   494.4   570.6   651.9   770.4  1018.3  1884.8  6629.6 17049.8 36210.3  81664.1    81704
read      548.2  1053.8    68.9   118.5   139.1   316.2   413.4   485.5   556.5   694.5  1232.1  1848.8  3565.3 11878.7 32172.6  55808.1    55771
read      510.7   981.7    63.8   135.5   169.0   379.1   459.2   510.1   559.6   633.5   747.3   971.0  3182.9 12394.8 32104.7  85272.9    85226
read      600.7  1248.3    63.8   134.5   168.8   371.3   455.3   520.8   587.8   685.2   873.0  1723.9  5152.0 13323.7 32480.7  75129.1    75020
read      396.6  1185.7    68.9   113.3   131.5   281.2   357.1   406.3   447.6   500.8   576.2   704.0  2482.9 28492.2 36548.4  12420.5    12441
read      532.3  1057.3    68.9   119.4   140.2   316.9   411.5   481.2   546.4   657.7  1031.9  1748.2  3402.6 12161.0 35026.3  56153.6    56208
read      436.1  1009.7    68.9   111.7   128.1   294.2   390.3   454.5   507.3   584.7   696.5   880.5  2930.6 11030.2 31870.5  17568.2    17446
read      512.2  1158.8    63.8   132.6   165.1   370.5   446.2   497.1   543.2   613.7   715.9   902.7  3373.6 14940.3 32475.6  86849.0    86943
read      525.5  1060.7    68.9   116.4   135.4   306.9   404.2   477.1   546.3   674.5  1116.5  1678.8  3213.2 10845.7 32185.2  49136.2    49138
read      498.2   916.4    68.9   114.2   133.2   300.2   394.8   460.3   523.1   627.0  1020.6  1608.0  3070.0  7534.1 31109.3  49937.9    49839
read      467.9   841.5    68.9   112.5   130.3   293.8   388.3   455.9   519.8   629.0   994.0  1468.2  2892.7  7637.6 31597.0  47632.8    47752
read      428.5   966.8    68.9   108.9   124.8   295.8   391.6   452.7   499.2   560.2   678.3   980.1  2879.1 13049.4 32009.8  27248.3    27181
read      402.1  1548.2    80.4   137.6   168.0   272.6   324.0   358.5   382.9   412.7   452.4   516.8  2117.5 29465.8 35733.4   6135.7     6170
read      370.1   998.5    86.8   140.2   168.5   290.5   348.6   388.2   416.7   451.2   496.4   570.8  1612.4 22176.8 32146.8   7193.0     7187
read      451.3   811.7    63.8   134.4   167.6   365.3   441.1   489.8   531.4   590.3   678.7   820.6  1879.7 10233.3 31659.6  99137.4    99387
read      459.6   849.3    68.9   129.8   160.4   359.8   437.5   486.1   528.7   590.7   690.3   874.2  2296.7 11037.2 32153.3  91937.0    91970
read      522.5  1223.1    68.9   127.7   158.1   361.9   443.1   494.4   540.0   610.0   713.0   940.4  4145.6 16467.7 35345.4  79617.2    79658
read      535.9  1012.6    68.9   117.6   139.0   319.3   414.2   480.9   544.6   655.5  1081.6  1821.4  3230.1 10606.3 31932.0  59351.3    59230
read      711.0  1518.7    68.9   160.8   207.9   398.8   488.0   572.6   659.9   778.8  1224.0  2023.9  7112.7 25608.3 36572.5  78016.4    78081
read      599.2  1099.3    68.9   125.4   150.5   338.9   433.0   510.1   592.5   752.6  1381.0  2081.7  4281.5 11510.5 32034.0  64215.4    64242
read      479.6   931.9    63.8   112.9   131.1   306.5   401.5   470.3   531.5   623.2   885.7  1336.2  3127.5 10948.4 31984.1  37693.2    37702
read      452.3   767.8    68.9   111.7   129.3   301.5   395.3   466.8   532.3   636.5   950.1  1328.4  2867.8  7274.7 30861.2  40753.6    40686
read      443.8   929.9    68.9   110.3   126.5   300.2   395.2   458.9   508.7   576.5   717.1  1071.6  3064.8 10560.4 31571.7  30350.8    30376
read      457.2   785.2    63.8   110.9   128.7   304.2   398.7   470.2   535.3   636.9   959.5  1334.1  2967.6  6706.1 31261.2  38397.4    38416
read      627.6  1337.0    68.9   126.7   154.1   346.4   441.1   516.7   596.7   745.2  1307.3  2015.1  5025.8 17496.7 32506.8  65805.2    65892
read      490.6  1057.6    68.9   112.8   130.9   302.9   396.6   464.5   525.0   611.0   853.7  1364.7  3216.4 12211.1 32125.4  39568.3    39560
read      393.0  1073.3    74.4   119.9   143.7   280.4   353.0   398.5   435.1   483.3   549.8   659.5  2866.1 20999.2 32015.4  10069.3    10016
read      529.3  1086.9    68.9   116.4   137.1   314.5   404.9   469.5   531.3   627.3   959.1  1716.3  3784.8 12103.0 32381.9  55272.0    55224
read      373.0   863.8    68.9   109.8   125.7   285.1   370.0   418.2   454.4   497.5   563.8   725.3  1628.3  8700.9 31841.8  20029.6    19982
read      495.7  1025.8    68.9   111.9   130.1   303.7   396.4   460.5   518.0   604.9   855.6  1487.9  3233.5 12213.0 32445.4  48042.7    48114
read      509.2  1233.3    68.9   111.4   130.4   310.1   400.3   464.1   518.7   595.3   802.0  1293.4  3593.0 18876.7 32485.8  36328.7    36283
read      423.7   934.1    68.9   109.6   125.9   295.5   392.2   454.8   502.4   571.8   712.0   955.6  3028.3 10039.8 31495.7  23368.4    23315
read      399.6  1323.1    68.9   116.4   137.8   280.0   347.1   392.4   426.6   471.8   539.1   644.1  1981.9 28987.0 32323.0  11173.9    11150
read      508.5  1086.5    63.8   141.6   182.0   389.5   460.8   505.0   548.3   623.6   729.6   894.0  2827.2 12895.8 32303.2  98718.3    98724
read      527.0  1164.4    68.9   113.9   134.3   311.7   400.7   462.0   521.2   611.5   850.6  1625.7  4029.5 15946.6 35138.8  56855.7    56880
read      378.4   925.7    68.9   113.8   134.2   284.5   357.8   407.1   445.9   492.3   561.3   674.1  2138.0 13005.6 31899.0  13526.2    13467
read      453.4   755.3    63.8   133.9   168.0   373.9   447.5   491.8   530.9   590.7   688.5   849.8  1985.2  9274.2 31486.2  99258.2    99368
read      504.4   967.7    68.9   112.7   131.6   313.1   408.5   479.9   544.5   640.3   950.6  1526.0  3432.1  9732.1 32213.1  46137.5    46206
