ubuntu@client-measure-lc9m:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.31 -a 10.156.0.30 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622158361648
Timestamp end: 1622160162035

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      403.9  1581.0    74.4   138.9   163.8   266.9   311.4   338.8   360.1   387.1   424.5   496.9  2439.1 29764.5 36517.2   5020.0     5031
read      620.4  1507.8    63.8   117.3   139.1   324.3   417.1   485.8   550.3   650.9  1027.3  1930.3  5848.5 25202.1 38391.0  54853.3    54838
read      734.9  1700.2    68.9   153.3   197.3   384.6   471.9   546.0   618.7   713.2   919.6  2436.3  8158.8 29858.2 37177.3  74948.9    74868
read      517.7  1145.0    63.8   111.1   128.4   322.1   435.6   510.6   573.9   666.3   855.4  1219.4  4246.1 15711.1 32404.7  30019.7    30015
read      490.5   935.6    63.8   110.2   127.4   311.1   415.9   490.5   551.4   649.4   913.0  1372.5  4176.9  6933.6 31884.4  40715.5    40743
read      458.1  1190.4    68.9   108.6   124.7   307.4   415.4   482.0   534.9   617.6   768.1   986.1  3240.3 25224.5 36632.7  23639.0    23648
read      420.1   628.4    63.8   131.1   160.9   354.0   430.6   478.7   520.0   578.3   662.3   799.7  1621.3  6800.9 30350.3  97796.1    97712
read      595.3  1229.7    63.8   119.2   140.7   329.7   427.8   506.2   584.9   746.6  1273.9  1824.6  4557.5 12867.4 33911.8  53733.7    53672
read      647.8  1464.1    63.8   120.7   143.6   336.2   434.4   514.9   595.8   751.9  1299.3  1957.4  5921.3 25658.7 36587.6  55476.7    55395
read      434.3   885.4    63.8   109.4   125.4   305.4   411.5   483.9   539.6   619.3   786.8  1051.6  2310.1  8954.9 31881.9  29397.6    29425
read      404.2   944.0    68.9   114.6   132.2   307.7   394.8   446.2   488.6   545.4   630.5   779.7  2072.7 13023.3 31520.2  15168.8    15173
read      725.5  1772.8    63.8   178.7   231.0   402.2   479.7   549.1   622.0   701.9   829.2  1629.7  8556.6 29963.9 37448.6  82417.6    82475
