ubuntu@client-measure-4brn:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.231 -a 10.156.15.230 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (48062, 15472, 66738, 9015, 46761, 97827, 78388, 93237, 78827, 56131, 51936, 45094, 8629, 10073, 59188, 45544, 70109, 37633, 16658, 52048, 23330, 75902, 21482, 87126, 77182, 64867, 12279, 75260, 65924, 91370, 64515, 67444, 88040, 57140, 98571, 49407, 94723, 75084, 48581, 95456, 41678, 62559, 65060, 25369, 52206, 24658, 72359, 34445, 23944, 48343, 81504, 26134, 87404, 97316, 40636, 41594, 80911, 35186, 21270, 46094, 88504, 56303, 90015, 86570, 42676, 33031, 89508, 27973, 21047, 88662, 54014, 10487, 74425, 86447, 63109, 9480, 58453, 33382, 15766, 65390, 48929, 45973, 51126, 12158, 48455, 53683, 45257, 83521, 14670, 79692, 70408, 34139, 90749, 78039, 18338, 76364, 86516, 86777, 7205, 29022, 76070, 91596, 64739, 44391, 72399, 43377, 37209, 5987, 76358, 77738, 95049, 41857, 35980, 64838, 81690, 22891, 19850, 23658, 90906, 52744, 42298, 46712, 26377, 83500, 39645, 96794, 16848, 8241, 44488, 88745, 19058, 17673, 15170, 30099, 28486, 86469, 49789, 61094, 51004, 48085, 23424, 51481, 84055, 59590, 55196, 9597, 28273, 27798, 28865, 7929, 24384, 30475, 80948, 88869, 11307, 89536, 8640, 94675, 22176, 68688, 92209, 93689, 81855, 38963, 39165, 23014, 92021, 72336, 41247, 49114, 18564, 68159, 40291, 42868, 20373, 64358, 95326, 40472, 39909, 73439)
Average QPS expected = 52939
Timestamp start: 1621968344862
Timestamp end: 1621970145426

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      509.5   961.3    63.8   108.2   132.1   319.2   410.5   474.0   533.6   636.3  1008.1  1585.5  3886.1  9168.4 32133.8  64547.7    64515
read      513.0   973.7    63.8   110.3   135.7   323.2   411.3   473.2   532.4   630.2   943.7  1590.3  3965.1  9437.4 32217.7  67413.2    67444
read      492.1   973.4    63.8   121.6   157.3   364.6   443.1   493.7   536.1   597.8   700.8   919.1  4499.9 11008.1 32183.4  87981.7    88040
read      488.9   820.7    63.8   103.8   124.5   301.8   394.0   464.3   535.7   708.5  1199.4  1579.8  2567.7  7781.0 31708.0  57170.2    57140
read      427.5   609.5    59.1   123.8   158.2   362.7   442.8   493.9   534.1   585.8   666.1   816.0  1435.2  8359.7 30820.5  98497.7    98571
read      488.9   773.1    63.8   105.7   125.7   306.4   398.7   470.9   551.2   788.8  1233.4  1545.9  2284.4  7823.4 31363.0  49365.2    49407
read      427.6   675.9    63.8   119.5   150.9   351.2   429.6   478.2   519.1   574.3   656.0   812.6  1676.0  8785.4 30526.8  94788.0    94723
read      513.0   928.8    63.8   118.4   150.6   355.8   444.8   502.4   551.2   627.6   776.4  1423.3  4160.6  9961.6 31833.4  75031.2    75084
read      479.0   661.8    63.8   103.9   124.0   308.0   400.8   471.7   551.9   780.1  1227.0  1521.1  2163.7  5905.3 24259.2  48630.9    48581
read      413.1   662.9    59.1   119.4   149.1   343.2   416.8   461.2   499.2   554.3   640.1   790.8  1585.2  8538.4 30906.4  95510.4    95456
read      473.3   717.4    63.8   102.1   120.5   299.6   391.9   471.2   571.8   867.8  1178.0  1407.0  2094.1  7927.3 30695.6  41674.8    41678
read      508.8   929.6    63.8   107.7   131.2   320.6   412.3   476.2   539.4   658.1  1077.2  1584.8  3231.6  9733.7 31963.0  62683.6    62559
read      531.5  1026.5    63.8   110.7   136.0   329.7   423.3   489.0   549.5   672.1  1070.0  1603.2  4525.2 12076.1 32236.4  65024.8    65060
read      358.2   566.9    63.8    99.3   113.7   252.0   338.5   402.7   460.7   550.4   697.1   892.7  1487.2  6035.4 20370.6  25412.1    25369
read      492.3   816.2    59.1   107.5   128.2   310.0   404.5   477.6   550.6   719.6  1155.9  1529.5  2571.3  7785.3 31636.1  52228.1    52206
read      439.7   814.1    63.8   101.7   118.0   278.3   381.2   468.0   563.2   716.7   889.4  1139.1  2575.2  9213.1 31618.9  24674.8    24658
read      508.5   989.3    59.1   113.9   143.8   357.5   448.3   505.4   549.7   618.2   740.3  1328.4  3622.4 12143.4 31991.8  72291.1    72359
read      448.1   947.4    63.8   101.6   117.8   276.5   372.0   440.6   509.2   638.8   883.5  1222.8  3072.8 11664.7 31978.9  34428.8    34445
read      367.3   651.3    63.8    99.2   113.2   254.2   343.3   410.5   472.0   569.3   713.9   938.1  1519.3  6845.5 31171.9  23892.0    23944
read      458.3   584.1    59.1   102.5   122.1   301.0   391.0   460.4   535.0   741.1  1170.2  1472.0  1978.1  5792.2 15506.2  48483.2    48343
read      665.3  1369.9    63.8   153.2   207.5   401.0   489.8   562.0   638.7   755.1  1029.4  1722.4  6000.9 14586.5 35891.4  81572.1    81504
read      389.3   680.8    63.8   100.1   115.3   265.3   356.4   425.0   490.5   611.9   778.4   989.1  1720.5  7232.4 31112.5  26095.5    26134
read      681.4  1485.7    63.8   183.1   245.1   427.1   507.7   565.7   622.4   709.7   852.3  1396.5  8148.6 20018.4 35850.9  87461.6    87404
read      410.0   459.5    63.8   120.2   152.3   358.7   444.0   494.7   534.3   584.1   654.0   800.2  1322.5  5420.3 17004.4  97413.4    97316
read      463.0   661.4    63.8   101.9   120.9   303.8   394.1   468.4   550.2   822.0  1162.2  1420.5  1884.6  6946.1 28626.5  40674.6    40636
read      464.5   742.7    63.8   100.9   118.8   288.9   382.1   460.8   548.7   783.2  1096.4  1384.8  2600.3  7299.9 31121.5  41542.9    41594
read      726.2  1602.2    63.8   180.2   242.8   419.6   503.2   577.1   659.3   770.2   994.9  1730.0  8341.9 27176.2 36829.8  80854.2    80911
read      445.0   840.1    63.8    99.7   116.9   282.6   372.3   445.7   526.3   748.6  1013.0  1268.1  1985.7  9714.6 31699.0  35264.6    35186
read      392.2   696.8    63.8    99.9   115.8   268.3   366.8   442.8   521.9   636.9   776.4   965.2  1590.5  7182.2 30825.1  21336.9    21270
read      491.8   675.4    63.8   102.3   122.7   306.1   407.7   499.8   615.0   927.8  1262.2  1519.6  2118.7  6903.7 26748.6  46099.7    46094
read      626.0  1378.7    59.1   159.2   216.4   400.7   477.6   538.3   596.7   684.9   801.8  1304.4  6249.9 17180.2 35806.5  88359.2    88504
read      507.8  1064.8    59.1   107.8   131.6   328.0   418.3   480.6   536.3   626.3   844.6  1447.8  3886.6 13008.8 32330.0  56315.9    56303
read      404.6   456.2    59.1   115.8   146.1   347.7   428.8   477.5   517.6   571.3   647.2   796.7  1539.8  5269.1 13493.7  90051.8    90015
read      411.4   533.6    59.1   113.1   143.3   355.4   436.4   484.9   523.6   574.4   649.0   805.4  1464.1  5967.8 25293.4  86648.4    86570
read      494.6   841.0    63.8   101.1   120.5   304.8   404.9   492.5   602.5   884.2  1182.2  1445.5  2283.8  9104.3 31418.9  42658.0    42676
read      373.1   511.4    63.8    99.1   114.4   265.4   354.1   417.7   477.1   570.9   761.8  1068.5  1509.2  5422.9 15888.1  32951.1    33031
read      455.9   712.2    59.1   123.5   160.6   380.6   460.9   509.9   550.8   606.9   692.7   868.3  1742.0  8893.9 31096.3  89343.2    89508
read      391.1   835.7    63.8    99.8   115.4   260.7   346.8   411.0   465.1   551.7   718.7   985.6  2067.2 10774.0 32222.4  28013.3    27973
read      336.0   553.7    63.8   100.0   114.7   249.6   330.2   383.5   427.6   492.9   601.7   778.0  1295.9  6548.4 28991.4  21022.2    21047
read      418.3   616.6    59.1   115.2   145.2   348.8   430.3   480.8   520.6   573.6   653.1   811.1  1652.7  8315.4 30277.3  88544.0    88662
read      497.5   996.7    59.1   109.0   132.3   328.4   421.6   488.4   545.3   633.4   887.6  1413.6  3072.8 10969.6 32407.1  54105.2    54014
read      274.8   562.0    68.9   105.4   122.8   219.9   274.2   307.8   333.5   365.9   409.8   490.9   878.6  7592.6 30277.7  10459.7    10487
read      487.1   978.1    59.1   113.7   143.8   354.2   444.5   501.4   545.5   604.6   706.3   998.3  3495.3 10943.2 32419.5  74343.4    74425
read      411.6   636.1    63.8   112.2   140.5   342.0   424.2   473.5   512.8   564.7   641.8   803.2  1661.3  7877.5 30618.4  86361.4    86447
read      516.1  1195.4    59.1   109.7   136.2   342.7   435.3   494.6   542.1   614.0   760.0  1262.2  4231.4 16872.7 32369.4  63258.2    63109
read      253.5   406.0    68.9   107.6   125.0   211.7   255.4   282.4   303.1   329.8   366.0   427.8   792.6  4742.7 16824.4   9445.5     9480
read      500.4  1032.5    59.1   107.8   134.0   342.5   432.3   488.8   538.2   619.9   766.4  1366.8  3592.1 13618.1 32073.3  58441.4    58453
read      370.7   650.4    63.8    98.3   113.6   262.7   350.1   408.2   461.7   554.8   723.2   960.5  1474.7  7250.2 31216.1  33433.7    33382
read      292.4   430.5    63.8    99.0   113.9   232.1   297.0   338.6   371.6   417.0   490.0   597.8   936.0  4854.6 13797.7  15784.5    15766
read      490.5  1023.0    59.1   107.9   132.9   336.9   427.2   482.1   527.4   590.1   699.1  1066.6  4534.8 12072.6 32284.6  65314.8    65390
read      480.2   671.0    59.1   102.2   123.2   313.9   418.3   499.3   585.0   774.3  1162.9  1482.3  2107.0  6942.1 28393.6  48890.2    48929
read      461.4   673.0    63.8   102.0   121.8   309.2   408.3   481.3   550.4   684.4  1002.1  1386.0  2400.8  6155.4 29117.5  46049.0    45973
read      517.2   737.9    63.8   103.2   125.1   326.6   430.7   518.0   618.1   888.7  1282.9  1597.9  2578.9  7288.8 27557.9  51106.2    51126
read      346.1   780.7    63.8    99.5   116.7   254.6   334.3   390.5   435.2   493.2   565.3   676.0  1474.3  8952.3 32093.8  12147.1    12158
