ubuntu@client-measure-s921:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.3 -a 10.156.0.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (28975, 38481, 23638, 36454, 55424, 54016, 37812, 75728, 38526, 5380, 28098, 34711, 22898, 42210, 78967, 45502, 17600, 8533, 9923, 98338, 26615, 91059, 58807, 5962, 34581, 18368, 92050, 80981, 67742, 69753, 41519, 51609, 59200, 56785, 26776, 52732, 24193, 43644, 58406, 7879, 44257, 94953, 50390, 84467, 42008, 18679, 11365, 9665, 42961, 65249, 52117, 39440, 78371, 89669, 61416, 53619, 16604, 87404, 8488, 23150, 95653, 30112, 57057, 31998, 31527, 89270, 17782, 35727, 99420, 72244, 95743, 15889, 43104, 92225, 80025, 49884, 50125, 10326, 36425, 35339, 30186, 64761, 29062, 84576, 69600, 26008, 57626, 97817, 6977, 80881, 97335, 77101, 23507, 11815, 76008, 94950, 85308, 17945, 20947, 20977, 63311, 75142, 69326, 90269, 88042, 90019, 60663, 36804, 48060, 71972, 84229, 30181, 79468, 13828, 76448, 69248, 13442, 51982, 51337, 41428, 56488, 69792, 25812, 86944, 64959, 24142, 49124, 93575, 71581, 82678, 96376, 16402, 21669, 7998, 56582, 28344, 80423, 96815, 78184, 79364, 70210, 20019, 98827, 74443, 5643, 92102, 98608, 13557, 95982, 47764, 31892, 54676, 25104, 68273, 61800, 50073, 76828, 90303, 81404, 54772, 9768, 60566, 9700, 51454, 10429, 55213, 18567, 22271, 51997, 21622, 68864, 20482, 95889, 9430, 82230, 69827, 50147, 96315, 37901, 46815)
Average QPS expected = 52009
Timestamp start: 1622057525094
Timestamp end: 1622059325557

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      436.6   901.8    68.9   107.2   122.3   275.3   370.3   438.2   499.7   597.3   858.1  1257.1  3314.5  7958.1 32659.8  41583.2    41519
read      507.8  1106.4    68.9   108.8   125.7   287.3   378.8   446.0   509.9   635.6  1096.5  1594.7  3722.0  9538.9 36859.1  51649.2    51609
read      547.3  1263.5    63.8   111.7   129.9   294.9   385.6   454.3   520.6   627.5  1004.2  1693.3  4621.8 15573.0 36440.1  59219.0    59200
read      534.5  1104.1    63.8   111.0   129.6   298.3   391.3   460.2   527.9   655.3  1128.2  1712.9  4063.9  9645.7 32462.8  56717.8    56785
read      431.9   990.0    68.9   103.7   117.9   267.4   359.7   422.7   476.0   561.4   719.3   982.2  3972.3 14276.3 33505.6  26868.5    26776
read      506.4  1109.1    63.8   108.0   124.8   284.8   375.7   439.4   497.9   589.1   884.7  1522.8  4361.4 11434.9 33953.8  52703.4    52732
read      408.2   837.9    68.9   106.2   120.8   273.3   371.8   441.7   505.0   605.8   746.8   941.3  2503.1 10010.5 32364.9  24175.3    24193
read      454.8   847.1    63.8   107.4   123.6   291.2   384.4   456.7   523.3   638.3   957.2  1313.9  2806.1  9352.2 31756.4  43585.6    43644
read      503.7   794.4    63.8   110.6   129.2   298.5   397.5   482.7   573.7   819.2  1263.5  1612.9  3072.8  7745.1 30975.4  58430.9    58406
read      384.0  1095.2    74.4   118.1   145.7   261.1   324.3   368.2   401.0   443.4   501.9   593.6  3468.4 14872.0 36727.0   7873.0     7879
read      454.4   711.0    63.8   106.3   122.9   291.5   388.7   468.3   557.2   761.7  1030.5  1323.0  2190.5  7852.2 29837.9  44235.8    44257
read      508.2  1265.6    63.8   128.5   163.1   351.2   418.6   466.9   514.8   586.0   680.2   835.3  4854.4 16741.2 36946.6  95092.8    94953
read      484.7   820.7    63.8   110.9   130.6   320.7   413.1   483.3   550.7   694.0  1098.9  1497.1  2127.0  9329.9 31677.3  50286.9    50390
read      487.5  1184.6    63.8   120.7   149.3   344.5   418.6   468.1   513.4   579.8   675.8   890.6  3567.7 15884.3 36709.2  84540.4    84467
read      493.8   893.6    63.8   108.8   126.6   308.3   400.8   486.9   578.1   865.2  1179.2  1419.9  2244.8 10539.9 31879.8  41990.1    42008
read      378.1   671.6    63.8   108.8   124.5   277.5   370.7   434.3   493.4   578.1   677.8   822.8  1525.7  6755.3 31930.4  18697.1    18679
read      383.4   959.3    74.4   113.6   132.6   275.6   352.4   407.0   448.7   497.7   563.6   688.0  2260.6 11341.1 36936.4  11337.2    11365
read      353.8   812.4    74.4   119.1   141.4   273.8   342.7   387.8   421.2   461.3   513.5   603.5  1488.1 11905.4 35209.6   9703.0     9665
read      504.6   751.8    63.8   109.7   128.6   327.6   422.4   506.8   600.0   986.4  1278.5  1531.4  1946.8  7736.6 31033.3  42942.6    42961
read      438.0   709.5    63.8   111.5   132.3   319.4   402.4   458.3   506.8   576.8   692.7  1315.1  2215.1  8240.0 31146.5  65168.9    65249
read      983.1  1667.0    63.8   132.9   179.9   719.9  1067.5  1229.1  1352.8  1528.5  1825.4  2334.5  4897.0 30508.2 37579.8  52147.0    52117
read      451.8   720.1    63.8   106.9   123.0   298.6   393.7   468.5   538.3   673.6   998.4  1310.0  2181.3  7903.5 30039.0  39442.9    39440
read      622.9  1268.4    63.8   134.6   169.1   343.1   432.8   516.8   598.4   725.7  1427.8  1931.5  5711.1 14476.7 35734.7  78490.4    78371
read      630.0  1414.4    63.8   156.4   208.4   375.5   450.7   526.1   603.9   687.9   826.5  1653.0  6447.5 16760.2 36653.1  89641.1    89669
read      513.2   820.3    63.8   113.9   135.7   311.8   404.6   477.2   547.1   701.2  1227.1  1730.4  2691.3  9233.7 30636.0  61456.7    61416
read      459.0   727.6    63.8   107.8   124.6   281.7   373.2   438.6   502.9   613.0  1041.3  1554.5  2539.7  6989.7 29411.3  53678.1    53619
read      339.3   567.9    68.9   107.0   121.7   264.3   341.6   391.2   432.1   490.8   575.7   707.2  1205.0  6749.5 30535.8  16729.3    16604
read      493.6  1037.0    63.8   124.1   155.0   356.3   428.8   477.5   525.0   597.1   702.5   939.0  2982.1 12802.4 32093.3  87143.0    87404
read      329.5   690.2    68.9   119.7   142.9   256.4   309.2   342.1   368.4   400.7   448.0   531.8  2287.2  7981.3 31663.0   8502.3     8488
read      395.2   847.8    63.8   102.9   117.3   272.2   364.6   425.3   474.6   549.2   673.0   869.6  2669.0 10478.2 36091.9  23064.4    23150
read      425.4   783.8    63.8   121.4   150.5   342.7   415.5   460.1   498.4   554.2   640.7   785.6  2373.8  8780.2 32015.9  95505.2    95653
read      434.0  1107.5    68.9   105.2   118.9   265.4   364.8   431.8   487.9   578.9   744.6  1022.9  2918.5 13490.9 32495.6  30117.9    30112
read      538.9  1302.3    63.8   110.6   129.2   296.6   391.9   464.0   534.9   678.7  1165.8  1704.9  3562.0 28922.7 36681.6  57056.9    57057
read      427.7   995.5    63.8   104.9   119.0   268.7   363.6   429.3   486.3   574.1   747.5  1047.4  2949.7  9906.1 36065.1  31971.1    31998
read      373.8   849.5    68.9   104.6   118.3   256.3   353.7   413.1   459.8   527.0   641.7   865.0  2289.7  9349.4 32498.8  31507.5    31527
read      589.8  1369.8    63.8   145.0   188.7   375.7   444.8   502.9   568.0   656.1   765.4  1406.6  5610.2 17437.5 36073.4  89347.7    89270
read      498.3  1463.5    68.9   110.0   125.3   293.8   399.1   482.0   550.6   636.2   754.7  1016.4  3457.9 28846.0 38312.0  17761.8    17782
read      488.7  1197.0    63.8   108.1   124.5   291.5   385.1   453.8   512.8   608.5   865.6  1258.3  3268.1 17799.6 34809.7  35702.8    35727
read      393.6   553.7    63.8   120.5   147.2   326.8   398.2   443.0   480.4   534.2   610.4   732.8  1936.8  7060.3 24095.7  99415.2    99420
read      585.9   944.6    68.9   130.8   160.8   339.5   435.4   530.7   624.2   864.4  1431.1  1855.5  3476.8  8700.1 31749.2  72251.8    72244
read      518.5  1132.4    63.8   137.1   175.7   363.0   430.1   482.1   539.2   617.3   710.8   888.2  3968.5 15481.3 32413.9  95600.1    95743
read      392.9   779.4    68.9   108.6   123.8   281.0   377.8   451.6   512.6   578.9   663.4   813.9  2292.3 11193.4 31669.9  15928.8    15889
read      511.3   987.0    63.8   109.2   125.8   301.3   399.6   469.9   535.6   658.3   999.7  1486.9  3485.1 10575.2 31881.2  43089.4    43104
read      605.4  1424.0    63.8   150.2   197.7   374.0   447.4   510.3   578.5   657.7   767.0  1428.5  6871.7 18624.1 36645.3  92184.9    92225
read      657.2  1543.6    68.9   142.0   180.4   354.6   437.3   515.7   592.0   683.9  1000.2  1838.0  6855.4 28758.0 37109.0  80150.6    80025
read      532.9  1057.8    63.8   109.8   128.1   304.7   398.7   470.5   544.6   686.9  1124.7  1613.9  3750.2 10643.0 32410.1  49970.4    49884
read      485.1   930.5    63.8   107.1   123.6   282.4   375.0   442.1   505.3   611.6   952.8  1481.8  3666.3  8778.4 31675.6  50055.5    50125
read      332.6   687.1    68.9   114.0   134.2   261.8   324.4   365.3   397.7   439.7   496.5   588.1  1411.0  7563.5 31495.5  10405.1    10326
read      474.7  1212.3    63.8   107.2   123.5   290.4   380.1   442.5   493.9   569.5   748.9  1157.2  3684.9 15885.2 37028.7  36272.3    36425
read      441.4  1072.6    63.8   104.2   119.5   277.8   368.1   432.5   488.3   572.4   784.8  1127.2  3526.0 11758.7 32942.2  35357.4    35339
read      449.8  1076.4    63.8   104.5   119.0   275.4   370.7   434.6   490.9   576.5   760.1  1056.2  3617.3 12174.3 35433.9  30153.0    30186
read      535.8  1029.2    63.8   119.0   142.4   319.7   409.7   482.2   557.2   706.3  1243.0  1723.5  3565.5 11371.1 32488.2  64828.9    64761
read      468.3  1112.9    63.8   110.1   125.6   285.9   381.9   446.0   502.1   585.2   757.2  1095.4  3687.0 12709.3 35214.5  29088.6    29062
read      645.6  1531.4    63.8   148.2   191.0   365.2   448.0   524.0   595.0   682.7   857.8  1717.1  7162.9 27602.9 37278.8  84395.1    84576
read      556.7   930.6    63.8   123.8   150.4   326.4   420.0   504.2   593.6   811.0  1384.4  1798.8  3583.8  8674.4 31985.0  69558.1    69600
read      400.8   913.5    63.8   105.0   118.7   266.2   364.8   430.4   484.8   571.4   714.5   918.0  2687.8 11569.9 35964.9  26030.3    26008
read      514.0   956.2    63.8   112.9   133.5   308.0   399.2   475.3   552.0   732.2  1217.8  1604.1  3573.0  9929.6 32051.8  57709.9    57626
read      500.1  1029.6    63.8   136.8   175.7   366.0   434.3   484.6   535.8   611.7   708.3   872.6  3653.4 12701.5 32218.1  97727.1    97817
read      326.1   929.0    74.4   120.7   147.0   242.5   288.0   317.0   339.9   368.7   408.6   484.3  2184.3 12647.7 32084.5   6936.3     6977
read      641.8  1429.8    63.8   139.4   177.7   349.1   434.9   517.5   592.3   688.4  1213.1  1811.1  6154.0 19647.0 36386.8  80839.5    80881
read      494.9   989.3    63.8   135.9   173.3   368.0   435.2   484.1   535.4   613.3   711.5   863.5  3639.8 12673.3 32045.7  97292.4    97335
read      630.7  1319.9    63.8   136.2   170.6   343.5   428.2   507.9   585.0   688.9  1307.5  1917.8  5549.7 15032.7 33977.2  77065.2    77101
