Random waveform, supplied seed
Total number of intervals = 225 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559)
Average QPS expected = 50540
Timestamp start: 1622152774202
Timestamp end: 1622154574820

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      638.0  1146.0    74.4   137.2   162.7   395.2   524.7   628.9   739.7  1042.3  1423.2  1791.1  3984.5 14284.4 35685.8  47786.4    47752
read      575.5  1042.3    74.4   131.8   154.7   399.6   531.2   622.8   709.9   869.1  1136.8  1413.5  3370.8 11842.2 32372.2  27244.6    27181
read      542.3  1622.9    86.8   156.1   198.0   364.3   434.7   477.1   510.7   552.6   613.6   758.2  5134.2 30664.6 42081.1   6230.1     6170
read      467.9  1031.0    80.4   148.4   187.8   373.7   454.4   504.0   540.0   583.6   639.5   737.2  2037.8 16783.8 37494.0   7233.8     7187
read      604.4   606.0    80.4   253.2   323.5   526.4   602.6   667.2   735.0   833.0   949.3  1088.5  1459.7  7498.1 29232.2  99191.6    99387
read      452.7   453.9    68.9   147.2   180.8   397.9   490.0   545.3   590.8   650.6   737.7   887.0  1356.4  5355.6 15424.3  91801.0    91970
read      474.3   734.1    74.4   138.6   168.5   387.9   485.6   545.5   593.6   657.5   744.4   918.2  1777.1  9068.8 31599.1  79650.0    79658
read      688.8  1263.7    74.4   147.5   181.1   419.7   542.8   641.1   746.3   988.2  1506.1  1933.5  5276.0 15476.6 35695.7  59140.0    59230
read      568.9  1091.4    74.4   150.7   187.8   418.9   514.7   580.2   635.7   713.7   831.3  1151.7  4299.7 12652.8 33376.8  77952.0    78081
read      653.5  1344.0    74.4   146.7   182.0   417.9   525.6   603.3   673.1   781.1  1081.1  1729.8  5415.8 16706.0 37566.6  64372.8    64242
read      595.5   864.8    74.4   133.2   156.0   393.6   534.1   659.7   820.4  1151.3  1370.7  1602.3  2365.8  8875.4 32388.7  37812.4    37702
read      609.9   994.1    74.4   136.7   160.3   394.7   532.7   649.0   783.0  1101.4  1382.7  1672.4  2599.0 11966.2 32230.2  40707.1    40686
read      606.1   952.9    74.4   136.1   160.3   408.8   554.2   674.2   808.1  1067.1  1312.6  1538.6  2875.8 10648.0 32258.6  30347.1    30376
read      577.1   858.4    74.4   128.1   149.8   380.7   514.6   625.8   754.3  1050.1  1327.2  1594.1  2490.3  8120.8 31981.6  38480.0    38416
read      767.2  1429.1    74.4   167.3   218.3   447.6   576.2   700.2   843.9  1309.9  1622.4  1960.8  5530.5 25259.3 37169.3  65926.2    65892
read      611.6   960.8    74.4   129.9   153.2   384.4   523.9   658.0   863.6  1183.7  1403.0  1664.5  2957.2  8861.1 35173.1  39456.6    39560
read      475.3   960.4    80.4   137.1   166.4   378.6   457.4   510.2   554.4   614.0   694.3   815.2  2568.3 10885.6 34797.1  10014.6    10016
read      645.9  1175.4    74.4   136.3   162.9   383.3   513.4   626.9   761.4  1098.5  1466.1  1823.6  5133.9 12640.8 36548.1  55151.2    55224
read      495.0   827.2    74.4   127.5   148.8   385.2   494.8   564.6   628.0   728.0   876.5  1089.2  1915.1  8152.8 32375.4  19971.2    19982
